game_id,stand_id,predicted_transaction_count
G2025000,STAND14,358.31360207162567
G2025000,STAND9,355.6177289379038
G2025000,STAND20,355.30455449817043
G2025000,STAND11,354.76545418771474
G2025000,STAND12,354.76545418771474
G2025000,STAND13,354.76545418771474
G2025000,STAND15,354.76545418771474
G2025000,STAND16,354.76545418771474
G2025000,STAND18,354.76545418771474
G2025000,STAND19,354.76545418771474
G2025000,STAND21,354.76545418771474
G2025000,STAND24,354.76545418771474
G2025000,STAND3,354.76545418771474
G2025000,STAND4,354.76545418771474
G2025000,STAND5,354.76545418771474
G2025000,STAND6,354.76545418771474
G2025000,STAND7,354.76545418771474
G2025000,STAND8,354.76545418771474
G2025000,STAND2,354.6990415111841
G2025000,STAND22,354.05123633862553
G2025000,STAND23,353.55588897032345
G2025000,STAND10,353.4648722359254
G2025000,STAND17,352.898167819367
G2025000,STAND1,349.2380829813997
G2025001,STAND22,357.2762024554523
G2025001,STAND11,356.730259361732
G2025001,STAND12,356.730259361732
G2025001,STAND13,356.730259361732
G2025001,STAND15,356.730259361732
G2025001,STAND16,356.730259361732
G2025001,STAND17,356.730259361732
G2025001,STAND18,356.730259361732
G2025001,STAND19,356.730259361732
G2025001,STAND20,356.730259361732
G2025001,STAND21,356.730259361732
G2025001,STAND23,356.730259361732
G2025001,STAND24,356.730259361732
G2025001,STAND4,356.730259361732
G2025001,STAND5,356.730259361732
G2025001,STAND6,356.730259361732
G2025001,STAND7,356.730259361732
G2025001,STAND9,356.730259361732
G2025001,STAND14,356.60081029875454
G2025001,STAND2,356.5708066242034
G2025001,STAND3,355.5843857042302
G2025001,STAND8,355.2862545278725
G2025001,STAND10,355.04852972666777
G2025001,STAND1,354.86699903110684
G2025002,STAND9,416.91991006593275
G2025002,STAND2,415.53532034998295
G2025002,STAND1,415.3686119773073
G2025002,STAND10,415.3686119773073
G2025002,STAND11,415.3686119773073
G2025002,STAND12,415.3686119773073
G2025002,STAND14,415.3686119773073
G2025002,STAND15,415.3686119773073
G2025002,STAND17,415.3686119773073
G2025002,STAND18,415.3686119773073
G2025002,STAND19,415.3686119773073
G2025002,STAND20,415.3686119773073
G2025002,STAND21,415.3686119773073
G2025002,STAND22,415.3686119773073
G2025002,STAND23,415.3686119773073
G2025002,STAND24,415.3686119773073
G2025002,STAND3,415.3686119773073
G2025002,STAND4,415.3686119773073
G2025002,STAND5,415.3686119773073
G2025002,STAND7,415.3686119773073
G2025002,STAND16,415.0140789181668
G2025002,STAND13,414.6838608075724
G2025002,STAND8,413.5005236336287
G2025002,STAND6,412.4945416244842
G2025003,STAND13,390.2919115144123
